video_asset_id,photo_asset_id
7038926f-4468-48c5-b9e8-71f6bbf5a7f7,112ba7c9-c6b7-4661-8b63-644afbf33294
d938284f-4e58-4558-be89-d95e856024fa,9b4aca49-c8ba-43db-933d-627bb5de1822
875ff55f-8fe0-4ccd-8f23-3baa8ba0fcbd,9ea2cab1-fa79-4c1a-ba32-e56c9e6660c2
625b679d-cbf4-4a8d-a1cb-f3895019e375,625b679d-cbf4-4a8d-a1cb-f3895019e375
4b90ceab-54fb-41a4-aa99-9962af314364,7386adc4-6d98-44f0-9eb3-84fedbf8f0cf
7892fdb8-de0b-4d00-9986-de1583421eab,f78b9227-c258-444f-8151-add93bad57f6
78a9d4af-a1a4-4dda-9e03-977296f6cc17,93204ea4-988c-45f1-b2c6-aa97e53e2a0d
d00fcb51-c700-4d1b-ba08-de4bcd01d8db,9ab79f5a-fa5a-4c9c-8414-ad2fdd97e9eb
c421019c-2f84-4266-aa93-23fb8e03923a,bdd70e9b-63f3-4ec7-9370-8729f42ac7b5
9393f0cb-7ade-4caa-b2d8-f75bae8209f7,a20ac36e-1eb8-4326-aebc-fd0799ed24cb